amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
"['Bomb shelter', 'Renovated', 'High ceiling', 'Gym', 'Parking', 'City view', 'Wading pool', 'Top floor', '', '', '', '', '']",2009,5 Peck Hay Road,Far East Organization,Orchard / River Valley (D9),,High (19 total),Fully,https://www.99.co/singapore/rent/property/vida-condo-EGUZrowRpPqsbxJd9yxUZW#enquiry_position_33#enquiry_source_Search,10 min (454 m) from ,Newton MRT,Vida,Newton,City view,https://pic.99.co/v3/b4b8VzQiWPFZtynPJQqHfj?width=2400&mode=fill&text=EILEEN+CHENG+E+L&sampling=lanczos&quality=80&version=1&signature=775a7bf45052d110d6c62e88c55e35931a6ff950,$6.02 psf,"$4,600/mo",Condo Whole Unit,764,Freehold,137,"Studio, 1, 2 BR",1,1
"['Function room', 'Sky lounge', 'Stove', 'Library', 'Sea view', 'Oven', 'Mid floor', 'Games room', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,12 Siglap Link,Frasers Property Singapore,East Coast / Marine Parade (D15),South East,Mid (27 total),Fully,https://www.99.co/singapore/rent/property/seaside-residences-condo-nXhV55jyUDAYbyePiRjZsc#enquiry_position_34#enquiry_source_Search,,,Seaside Residences,Bedok,Sea view,https://pic.99.co/v3/NiS5c3zSVnkAB66GffpDnA?width=2400&mode=fill&text=Dr+Patrick+Wong&sampling=lanczos&quality=80&version=1&signature=1078c07c2612cd09ee72de0e327b398c63ae306b,$6.23 psf,"$3,688/mo",Condo Whole Unit,592,99 Years,843,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Renovated', 'Aircon', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Study room', 'Oven', '', '', '']",2004,45 Mosque Street,Act Development Pte Ltd,Boat Quay / Raffles Place / Marina (D1),,,Flexible,https://www.99.co/singapore/rent/property/empire-lofts-condo-eBdDQcBn4Egz3t8ffrv3Ph#enquiry_position_35#enquiry_source_Search,5 min (149 m) from ,Chinatown MRT,Empire Lofts,None,,https://pic.99.co/v3/zLBd7TiWMUHFoYnGrD5z6H?width=2400&mode=fill&text=Le+Tian+Eng&sampling=lanczos&quality=80&version=1&signature=d819ed62fb021c98251b0af3784bf3f1ff3fae13,$7.5 psf,"$4,800/mo",Condo Whole Unit,640,-,27,"1, 2 BR",1,1
"['Security', 'Aircon', 'Maid room', 'Stove', 'Fridge', 'Swimming pool', 'Dryer', 'Playground', '', '', '', '']",1978,37 Nassim Road,Far East Organization,Tanglin / Holland (D10),,Mid,Partial,https://www.99.co/singapore/rent/property/nassim-regency-condo-eDjBMxKJKAT7KmYYnyFgtY#enquiry_position_36#enquiry_source_Search,,,Nassim Regency,Tanglin,,https://pic.99.co/v3/VLjmPJyNc4uirgRyeEoKLa?width=2400&mode=fill&text=Shanti+Jasmine&sampling=lanczos&quality=80&version=1&signature=27f7819c90130a53ae90b5974e17da2e880e0bfc,$5.19 psf,"$10,500/mo",Condo Whole Unit,"2,024",Freehold,30,"3, 4, 7 BR",3,3
"['Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Mid floor', 'Games room', 'City view', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2009,12 Kitchener Link,City Developments Ltd,Farrer Park / Serangoon Rd (D8),South West,Mid (30 total),Fully,https://www.99.co/singapore/rent/property/city-square-residences-condo-yaDd3zwrrFwhXtptzDzE3U#enquiry_position_37#enquiry_source_Search,10 min (414 m) from ,Farrer Park MRT,City Square Residences,Kallang,Greenery view,https://pic.99.co/v3/bxi3npdaYEQi7JPYf3YFem?width=1200&mode=fill&text=Steven+Kwok&sampling=lanczos&quality=80&version=1&signature=b2eb11943d7a90bf24d21cfc89fd885bd5586b89,$3.68 psf,"$4,550/mo",Condo Whole Unit,"1,238",Freehold,910,"Studio, 1, 2, 3, 4, 5 BR",3,3
"['City view', 'Renovated', 'Gym', 'Underwater fitness station', 'Spa pool', 'Jacuzzi', 'Wading pool', 'Sea view', '', '', '', '', '', '', '', '']",2017,5A Shenton Way,Uic Investments (Properties) Pte Ltd,Boat Quay / Raffles Place / Marina (D1),,High (53 total),Fully,https://www.99.co/singapore/rent/property/v-on-shenton-condo-yrmDakao5uSuWRTYmH6oPM#enquiry_position_38#enquiry_source_Search,10 min (387 m) from ,Downtown MRT,V On Shenton,None,Sea view,https://pic.99.co/v3/to7gkCbAYxExzcVCicNwPS?width=2400&mode=fill&text=Jenny+Chow&sampling=lanczos&quality=80&version=1&signature=9bde127b5a4eaf321a52a9217777baa4e71af3f3,$7.26 psf,"$3,200/mo",Condo Whole Unit,441,99 Years,510,"Studio, 1, 2, 3, 4, 5 BR",studio,1
"['Jogging track', 'Clubhouse', 'Sculpture', 'Walk in closet', 'Yoga corner', 'Oven', 'Pond', 'Outdoor dining', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2019,91 Prince Charles Crescent,UOL Venture Investments Pte Ltd,Alexandra / Commonwealth (D3),North East,,Fully,https://www.99.co/singapore/rent/property/principal-garden-condo-oHkAQ8AsLvE73CaZQhuSZf#enquiry_position_39#enquiry_source_Search,15 min (741 m) from ,Redhill MRT,Principal Garden,Bukit Merah,City view,https://pic.99.co/v3/CnCDhvSzGBHqGhEuqRPLL9?width=2400&mode=fill&text=Baby+Tan&sampling=lanczos&quality=80&version=1&signature=28accf4b8b483d5e110a3daf5df914e201268c7f,$5.1 psf,"$3,900/mo",Condo Whole Unit,764,99 Years,663,"1, 2, 3 BR",2,2
"['Clubhouse', 'Stove', 'Concierge', 'Sea view', 'Oven', 'Outdoor dining', 'Balcony', 'Greenery view', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2018,23 Marina Way,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,Boat Quay / Raffles Place / Marina (D1),South East,High (33 total),Flexible,https://www.99.co/singapore/rent/property/marina-one-residences-condo-zDRb3bqqsh2eWAvKxE82NF#enquiry_position_40#enquiry_source_Search,5 min (160 m) from ,Marina Bay MRT,Marina One Residences,None,Greenery view,https://pic.99.co/v3/BHiZSUeUygHsCojvaUSLq6?width=2400&mode=fill&text=Jimmy+Lee&sampling=lanczos&quality=80&version=1&signature=3af840cb014b7911a0eae66b36ff83e6f6dd208d,$5.34 psf,"$6,200/mo",Condo Whole Unit,"1,162",99 Years,1042,"Studio, 1, 2, 3, 4, 5, 6 BR",2,2
"['Infinity pool', 'Yoga corner', 'Pavilion', 'Sky terrace', 'Gym', 'Pool deck', 'Lounge', 'Outdoor dining', '', '', '', '', '', '', '', '', '', '', '']",2014,48 Spottiswoode Park Road,Uol Development Pte Ltd,Chinatown / Tanjong Pagar (D2),,High (36 total),Partial,https://www.99.co/singapore/rent/property/spottiswoode-residences-condo-Gj2yEKmLbkTdY3zZZx65HZ#enquiry_position_41#enquiry_source_Search,15 min (802 m) from ,Outram Park MRT,Spottiswoode Residences,Bukit Merah,,https://pic.99.co/v3/EvFCEjZePDtdCLYFTkHwGU?width=1200&mode=fill&text=Jaclyn+Kwan&sampling=lanczos&quality=80&version=1&signature=311e0d7449c27e24b40e626b3b19e662579cc77c,$5.32 psf,"$3,200/mo",Condo Whole Unit,602,Freehold,351,"1, 2, 3, 5 BR",1,1
"['Clubhouse', 'Jacuzzi', 'Parking', 'Games room', 'City view', 'Mini golf range', 'Greenery view', 'Pool deck', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2009,6 Kitchener Link,City Developments Ltd,Farrer Park / Serangoon Rd (D8),East,,Partial,https://www.99.co/singapore/rent/property/city-square-residences-condo-GVQLz9zrSyohtE2oANDyQn#enquiry_position_42#enquiry_source_Search,10 min (414 m) from ,Farrer Park MRT,City Square Residences,Kallang,Greenery view,https://pic.99.co/v3/GQAAqAuwfyvpF6n48UZAL2?width=1200&mode=fill&text=Roy+Loo&sampling=lanczos&quality=80&version=1&signature=924d31944e81701fa0cbcdfee0c3a4b436c40bfe,$4.91 psf,"$2,800/mo",Condo Whole Unit,570,Freehold,910,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Dishwasher', 'Bathtub', 'Security', 'Aircon', 'Swimming pool', 'Maid room', 'Greenery view', 'Parking', '', '', '', '', '', '', '', '', '', '']",1978,37 Nassim Road,Far East Organization,Tanglin / Holland (D10),East,,Partial,https://www.99.co/singapore/rent/property/nassim-regency-condo-YMyu6qL755zD5YroYZHK94#enquiry_position_43#enquiry_source_Search,,,Nassim Regency,Tanglin,Greenery view,https://pic.99.co/v3/Krmn2hvkQFGEzs7xyL9VaD?width=2400&mode=fill&text=Richard+Jany&sampling=lanczos&quality=80&version=1&signature=5db014f4075e267214887fec5aa45a4b9e7354aa,$5.19 psf,"$10,500/mo",Condo Whole Unit,"2,024",Freehold,30,"3, 4, 7 BR",3,4
"['Function room', 'Sky lounge', 'Stove', 'Library', 'Sea view', 'Oven', 'Games room', 'Balcony', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,10 Siglap Link,Frasers Property Singapore,East Coast / Marine Parade (D15),South,High (27 total),Partial,https://www.99.co/singapore/rent/property/seaside-residences-condo-XgLa5xTSYJ2ysdDX6vDCqL#enquiry_position_44#enquiry_source_Search,,,Seaside Residences,Bedok,Greenery view,https://pic.99.co/v3/pDETUoVxsFCL7y98G8cEMc?width=2400&mode=fill&text=Fanny+Gunawan&sampling=lanczos&quality=80&version=1&signature=a3c16204d2ad70ab72a32d8d21fbdbc872dc1ac6,$5.5 psf,"$4,200/mo",Apartment Whole Unit,764,99 Years,843,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Stove', 'Timber deck', 'Oven', 'Parking', 'Balcony', 'Fun pool', 'City view', 'Tv', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2007,23 Delta Road,Valley Development Pte Ltd (Kheng Leong),Alexandra / Commonwealth (D3),South East,High (24 total),Partial,https://www.99.co/singapore/rent/property/domain-21-condo-a6QRWgQobpxAzKDRehxuDc#enquiry_position_45#enquiry_source_Search,15 min (896 m) from ,Tiong Bahru MRT,Domain 21,Bukit Merah,City view,https://pic.99.co/v3/T76c5nXJ6QbytZDZQmfVQM?width=2400&mode=fill&text=Sean+Yeo&sampling=lanczos&quality=80&version=1&signature=a2ee8cbb54e47a45c00af7b20b05ec98400d1255,$4.65 psf,"$4,200/mo",Condo Whole Unit,904,99 Years,141,"2, 3, 4 BR",2,2
"['Clubhouse', 'Function room', 'Sky lounge', 'Water feature', 'Timber deck', 'Library', 'Concierge', 'Jacuzzi', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2011,1 Shenton Way,City Developments Ltd,Boat Quay / Raffles Place / Marina (D1),,High (50 total),Partial,https://www.99.co/singapore/rent/property/one-shenton-condo-YQoUR5Nxr6xAY3WVriooJc#enquiry_position_46#enquiry_source_Search,5 min (204 m) from ,Downtown MRT,One Shenton,None,City view,https://pic.99.co/v3/Kf4BbkTyyCRzsJuWmKohiD?width=2400&mode=fill&text=PATRICK+DENG&sampling=lanczos&quality=80&version=1&signature=3b26b2a4b233873e94028437eb10f78b05fc7273,$4.96 psf,"$7,800/mo",Condo Whole Unit,"1,572",99 Years,341,"Studio, 1, 2, 3, 4, 5, 6 BR",3,3
"['High ceiling', 'Stove', 'Squash court', 'Oven', 'Parking', 'Balcony', 'City view', 'Renovated', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1978,53 Cairnhill Road,United Overseas Land Ltd,Orchard / River Valley (D9),South East,High,Partial,https://www.99.co/singapore/rent/property/cairnhill-plaza-condo-n66M94CeYFFjnsbpoabsde#enquiry_position_47#enquiry_source_Search,15 min (866 m) from ,Orchard MRT,Cairnhill Plaza,Newton,City view,https://pic.99.co/v3/CxcsB59Tta8gvni6NePyWB?width=2400&mode=fill&text=Jennifer+Foo&sampling=lanczos&quality=80&version=1&signature=d43fea209b7f9e34cd09618dcb45ed8f6e98369e,$4.23 psf,"$14,000/mo",Condo Whole Unit,"3,306",Freehold,204,"3, 4 BR",4,5
"['Clubhouse', 'High ceiling', 'Stove', 'Jacuzzi', 'Oven', 'City view', 'Renovated', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2007,10 Gopeng Street,Lucky Pinnacle Pte Ltd (Far East),Chinatown / Tanjong Pagar (D2),,High (46 total),Partial,https://www.99.co/singapore/rent/property/icon-condo-7t5mtuPtAtjM5NZU8KjHbX#enquiry_position_48#enquiry_source_Search,5 min (194 m) from ,Tanjong Pagar MRT,Icon,None,City view,https://pic.99.co/v3/hq9oHzNKiVHsGJHqWf77wG?width=2400&mode=fill&text=Collin+Khwang&sampling=lanczos&quality=80&version=1&signature=01ed281c647c63ae7196c92cd4860b67492a057a,$5.55 psf,"$5,200/mo",Condo Whole Unit,937,99 Years,646,"Studio, 1, 2, 3 BR",2,2
"['City view', 'Function room', 'Renovated', 'Open terrace', 'Retail shops', 'Gym', 'Pool deck', 'Rooftop pool', '', '', '', '', '', '', '', '', '', '', '', '', '']",2017,1 Fraser Street,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),Beach Road / Bugis / Rochor (D7),,High (31 total),Fully,https://www.99.co/singapore/rent/property/duo-residences-duo-tower-condo-RmdEShH3E7F9Ga3xnFgKXN#enquiry_position_49#enquiry_source_Search,5 min (246 m) from ,Bugis MRT,Duo Residences / Duo Tower,None,City view,https://pic.99.co/v3/oQPAsschwqf3gEwzrcbAh3?width=2400&mode=fill&text=Ng+Siew+Peng+%28Kathy%29&sampling=lanczos&quality=80&version=1&signature=6ec159556c5ab622686b111573630498d87b313b,$8.81 psf,"$3,700/mo",Apartment Whole Unit,420,99 Years,660,"Studio, 1, 2, 3, 4 BR",studio,1
"['Stove', 'Walk in closet', 'Oven', 'Parking', 'Balcony', 'City view', 'Renovated', 'Playground', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,1 Ardmore Park,Wheelock Properties (S) Ltd,Tanglin / Holland (D10),North East,High,Partial,https://www.99.co/singapore/rent/property/ardmore-ii-condo-hLCm5mgiM6xMTuyA6Njumc#enquiry_position_50#enquiry_source_Search,15 min (841 m) from ,Orchard MRT,Ardmore II,Newton,City view,https://pic.99.co/v3/FRek2PQb64sSpVqv2jemia?width=2400&mode=fill&text=Richard+Jany&sampling=lanczos&quality=80&version=1&signature=4ea7a00800eaaf69c431e3119c1a5a45cad522d4,$5.43 psf,"$11,000/mo",Condo Whole Unit,"2,024",Freehold,118,"Studio, 4 BR",4,5
"['Lounge', 'City view', 'Security', 'Aircon', 'Water feature', 'Stove', 'Pool deck', 'Fridge', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,10 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),South East,,Flexible,https://www.99.co/singapore/rent/property/martin-modern-condo-jbnMg3d6GZZC8cAPLStGY7#enquiry_position_51#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,City view,https://pic.99.co/v3/J4ASjGPevtefzQVAZ42WEf?width=2400&mode=fill&text=Harry+Boey+Siew+Kok&sampling=lanczos&quality=80&version=1&signature=e899f39b38d0ae6045c5f8f9475882030b86ce3e,$6.28 psf,"$4,800/mo",Condo Whole Unit,764,99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Penthouse', 'Pool deck', 'High ceiling', 'Stove', 'Jacuzzi', 'Balcony', 'Bomb shelter', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2016,55 Changi Road,Mequity Assets Pte Ltd,Eunos / Geylang / Paya Lebar (D14),South West,High (10 total),Fully,https://www.99.co/singapore/rent/property/millage-condo-Fs6ipMCjunjoiCYH8WBqTT#enquiry_position_52#enquiry_source_Search,10 min (640 m) from ,Eunos MRT,Millage,Geylang,City view,https://pic.99.co/v3/VRVzz3Y9xxJ9WSsgycpqB3?width=2400&mode=fill&text=Mae+Wong+Lai+Meng&sampling=lanczos&quality=80&version=1&signature=a34baf52acfda05b108af9ef33c47edd968f3601,$3.1 psf,"$3,500/mo",Condo Whole Unit,"1,130",Freehold,70,"Studio, 1, 2 BR",1,1
"['Jogging track', 'Bridge', 'Function room', 'Clubhouse', 'Stove', 'Timber deck', 'Concierge', 'Jacuzzi', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2020,9 Bedok South Avenue 3,CEL Residential Development Pte. Ltd.,Bedok / Upper East Coast (D16),,,Fully,https://www.99.co/singapore/rent/property/grandeur-park-residences-condo-teCR7eLVsGRwkrpi7YPmC9#enquiry_position_53#enquiry_source_Search,5 min (208 m) from ,Tanah Merah MRT,Grandeur Park Residences,Bedok,,https://pic.99.co/v3/VcA5oYtzM8vTx3gRPdGpGL?width=2400&mode=fill&text=Ken+Kwan&sampling=lanczos&quality=80&version=1&is_watermark=True&signature=c9089ee8500682c5139ce3f50b4ea5985d553344,$5.4 psf,"$3,600/mo",Condo Whole Unit,667,99 Years,722,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Ground floor', 'High ceiling', 'Gym', 'Sauna', 'Swimming pool', 'Parking', 'Security', 'Pool view', '', '']",2014,145 Killiney Road,Unique Development Pte. Ltd.,Orchard / River Valley (D9),,Ground (10 total),Partial,https://www.99.co/singapore/rent/property/the-boutiq-condo-zGPxZaXZFTrMWtjL7fTp88#enquiry_position_54#enquiry_source_Search,10 min (392 m) from ,Somerset MRT,The Boutiq,River Valley,Pool view,https://pic.99.co/v3/b8xQvwZkTNVyKcaZqVqEPb?width=2400&mode=fill&text=Jenny+Lee&sampling=lanczos&quality=80&version=1&signature=9103635128d01745ad858adf6235b8053e7d5451,$4.81 psf,"$4,500/mo",Condo Whole Unit,936,Freehold,130,"1, 2 BR",2,2
"['Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Mid floor', 'Games room', 'Renovated', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2009,14 Kitchener Link,City Developments Ltd,Farrer Park / Serangoon Rd (D8),North East,Mid (30 total),Fully,https://www.99.co/singapore/rent/property/city-square-residences-condo-FbWJeC6pCeTfXLTAVuzCwX#enquiry_position_55#enquiry_source_Search,10 min (414 m) from ,Farrer Park MRT,City Square Residences,Kallang,,https://pic.99.co/v3/HJaCpn4KuhPR82mRP9fgF6?width=1200&mode=fill&text=Lee+May&sampling=lanczos&quality=80&version=1&is_watermark=True&signature=2a0976581d29464c5783d0584b99e68080763ff6,$4.17 psf,"$3,500/mo",Condo Whole Unit,840,Freehold,910,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Fitness corner', 'Dishwasher', 'Basketball court', 'Aircon', 'Gym', 'Fridge', 'Sauna', 'Jacuzzi', '', '', '', '', '', '', '', '', '', '', '', '']",2007,3 Anthony Road,Golden Development Pte Ltd (Far East Oranisation),Orchard / River Valley (D9),,High (20 total),Fully,https://www.99.co/singapore/rent/property/orchard-scotts-condo-SUqTcZkVAyk7uiZzNFL8rL#enquiry_position_56#enquiry_source_Search,5 min (299 m) from ,Newton MRT,Orchard Scotts,Newton,,https://pic.99.co/v3/xXCHQsjhhsqJzeJkthLJXR?width=1200&mode=fill&text=Victor+Heng&sampling=lanczos&quality=80&version=1&signature=20573608f8c2e8fff1310bb1d16cc032807ec415,$5.07 psf,"$11,200/mo",Condo Whole Unit,"2,207",99 Years,387,"Studio, 1, 2, 3, 4, 5 BR",4,5
"['Fun pool', 'Clubhouse', 'Function room', 'Hammocks', 'Water feature', 'Reflexology path', 'Gym', 'Pool deck', '', '', '', '', '', '', '', '', '', '', '', '', '']",2014,21 Nathan Road,Tid Pte Ltd,Tanglin / Holland (D10),,High (23 total),Partial,https://www.99.co/singapore/rent/property/nathan-suites-condo-sP9EibVJUHFwYYczu57q2h#enquiry_position_57#enquiry_source_Search,,,Nathan Suites,Tanglin,,https://pic.99.co/v3/4b9c94o6BYqZb3kKi7mWZP?width=2400&mode=fill&text=Angeline+Soh&sampling=lanczos&quality=80&version=1&signature=7bc0c32641fde398fbc75f4ae882c07b1a37f1cb,$5.18 psf,"$4,800/mo",Condo Whole Unit,926,Freehold,65,"2, 3, 4, 8 BR",2,2
"['Clubhouse', 'City view', 'Renovated', 'Gym', 'Wading pool', 'Low floor', 'Swimming pool', 'Utility room', '', '', '', '', '', '']",1997,205 River Valley Road,United Engineering Ltd,Orchard / River Valley (D9),,Low (19 total),Fully,https://www.99.co/singapore/rent/property/ue-square-condo-pZyVsMziniX6A6jcG559NH#enquiry_position_58#enquiry_source_Search,20 min (1008 m) from ,Clarke Quay MRT,UE Square,None,City view,https://pic.99.co/v3/m7FqAnLnBKvv6sc3m6TjbH?width=2400&mode=fill&text=Katherine+Chen&sampling=lanczos&quality=80&version=1&signature=184b6ad7a82b3e324a70a507bfe2e69b507d6bba,$4.28 psf,"$5,100/mo",Condo Whole Unit,"1,192",929 Years,345,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Aircon', 'Greenery view', 'Fridge', 'Bed', 'High floor', 'Washer']",,78 Guan Chuan Street,,Alexandra / Commonwealth (D3),,High (5 total),Fully,https://www.99.co/singapore/rent/property/tiong-bahru-estate-condo-SHQ6fjfnREj3dBw7qmUCqn#enquiry_position_59#enquiry_source_Search,10 min (934 m) from ,Tiong Bahru MRT,Tiong Bahru Estate,Bukit Merah,Greenery view,https://pic.99.co/v3/vjedhv442bhDH5cUzA2n8e?width=2400&mode=fill&text=Yam+Terence&sampling=lanczos&quality=80&version=1&signature=7df2fcd3d0e46681af30841c7731d971dcb0eec0,$3.23 psf,"$3,228/mo",Walk-up Whole Unit,998,99 Years,,"Studio, 1, 2, 3, 4, 5, 6 BR",3,1
"['Penthouse', 'Clubhouse', 'Water feature', 'High ceiling', 'Timber deck', 'Jacuzzi', 'Pond', 'Outdoor dining', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2017,6 Sims Drive,GuocoLand Limited,Eunos / Geylang / Paya Lebar (D14),,High (18 total),Partial,https://www.99.co/singapore/rent/property/sims-urban-oasis-condo-gaEFpNNqyd6tgzWAVxiPyb#enquiry_position_60#enquiry_source_Search,10 min (408 m) from ,Aljunied MRT,Sims Urban Oasis,Geylang,City view,https://pic.99.co/v3/ScjdtjC5fxrk52QJDG7aTV?width=2400&mode=fill&text=Yen+Yuin+Lui&sampling=lanczos&quality=80&version=1&signature=c0cf81e84426dd16bdf4c06f4338bbaba030e54b,$4.05 psf,"$4,800/mo",Condo Whole Unit,"1,184",99 Years,1024,"Studio, 1, 2, 3, 4, 5 BR",3,2
"['Clubhouse', 'Function room', 'Spa pavilion', 'Jacuzzi', 'Parking', 'Outdoor dining', 'Balcony', 'City view', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2013,48 Saint Thomas Walk,Novelty Orchard Development Pte Ltd,Orchard / River Valley (D9),North East,High (32 total),Fully,https://www.99.co/singapore/rent/property/espada-condo-GmHwaiQRZ72nRnxQdTawCd#enquiry_position_61#enquiry_source_Search,10 min (366 m) from ,Somerset MRT,Espada,River Valley,City view,https://pic.99.co/v3/A8G32yhwybxoyqiaWoTW8o?width=2400&mode=fill&text=Gerald+Fong+YW&sampling=lanczos&quality=80&version=1&signature=eba62b3455596bc3a1013792c12e5efdcb11ff52,$7.32 psf,"$2,600/mo",Condo Whole Unit,355,Freehold,232,"Studio, 1, 2 BR",1,1
"['Clubhouse', 'City view', 'Bathtub', 'Renovated', 'Aircon', 'Swimming pool', 'High ceiling', 'Duplex / maisonette', '', '', '', '', '', '', '', '', '', '', '', '', '']",2015,23 Angullia Park,Far East Organization,Orchard / River Valley (D9),,High (33 total),Unfurnished,https://www.99.co/singapore/rent/property/skyline-orchard-boulevard-condo-eKtY5FPni74rWpwjh7PykE#enquiry_position_62#enquiry_source_Search,5 min (346 m) from ,Orchard MRT,Skyline @ Orchard Boulevard,River Valley,City view,https://pic.99.co/v3/mpcyngLNnKjsDT5sVXiJ4j?width=2400&mode=fill&text=Eric+Tan&sampling=lanczos&quality=80&version=1&signature=3329d241214f9bdea777e079cd4d145c535bb63e,$5.9 psf,"$12,200/mo",Condo Whole Unit,"2,067",Freehold,40,"Studio, 2, 3, 4, 5, 6 BR",4,3
"['City view', 'Closet', 'Aircon', 'Gym', 'Fridge', 'Jacuzzi', 'Dryer', 'Oven', '', '', '', '']",2016,38 Scotts Road,Far East Success,Orchard / River Valley (D9),,High (31 total),Partial,https://www.99.co/singapore/rent/property/the-scotts-tower-condo-nQCbYjX8LSfKfdtRxNQgJj#enquiry_position_63#enquiry_source_Search,10 min (384 m) from ,Newton MRT,The Scotts Tower,Newton,City view,https://pic.99.co/v3/yPdwey9iaxcLU4L57b3hb9?width=2400&mode=fill&text=Lynn+Ng&sampling=lanczos&quality=80&version=1&signature=3c608c088a779d06ed781b80f587c6398e8ccb7c,$8.21 psf,"$6,900/mo",Condo Whole Unit,840,103 Years,231,"Studio, 1, 2, 3, 5 BR",2,2
"['Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Mid floor', 'Balcony', 'Closet', 'Pool deck', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,11 Serangoon North View,Keppel Land & Wing Tai,Hougang / Punggol / Sengkang (D19),North South,Mid (15 total),Partial,https://www.99.co/singapore/rent/property/the-garden-residences-condo-fAdeY64gjUYhbHjkX6Emq5#enquiry_position_64#enquiry_source_Search,,,The Garden Residences,Serangoon,,https://pic.99.co/v3/mgfR8RvvHmZ7SG4DEiWvv8?width=2400&mode=fill&text=Keisia+Sim&sampling=lanczos&quality=80&version=1&signature=b82dbe45f92a704093106e2af98e766bf3e7210c,$4.93 psf,"$3,400/mo",Condo Whole Unit,689,99 Years,613,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Swimming pool', 'Squash court', 'Tennis court', 'Parking', 'High floor', 'Security', 'Balcony']",1986,7 Bassein Road,Vihin Realty Pte Ltd,Newton / Novena (D11),,High,Partial,https://www.99.co/singapore/rent/property/pastoral-view-condo-exDxnKvdei2ASAcZ86rvrQ#enquiry_position_65#enquiry_source_Search,10 min (545 m) from ,Novena MRT,Pastoral View,Novena,,https://pic.99.co/v3/EUV9CzNGguGPVEmezY2KAo?width=2400&mode=fill&text=Phyl+Lum&sampling=lanczos&quality=80&version=1&signature=c1659804d05c0ce89e979173fbab8830bfc68c47,$3.65 psf,"$4,600/mo",Condo Whole Unit,"1,259",Freehold,50,"Studio, 1, 2, 3 BR",3,2
